株主ID,株主名,性別,年齢,職業,市,地名
64,大谷,男,31,ホテル・旅館のフロント、接客、客室係,つくば,手代木
65,小泉,男,32,娯楽施設・スポーツ施設・その他の接客,つくば,西大沼
66,前島,男,33,美容師,つくば,上原
67,萩原,女,34,理容師,つくば,松野木
68,小野,男,35,エステティシャン、ネイリスト,つくば,観音台一丁目
69,重田,男,36,理美容師補助、その他の美容サービス,つくば,観音台二丁目
70,庄司,男,37,調理人（日本・西洋・中華料理）,つくば,観音台三丁目
71,谷,女,38,調理人（給食）,つくば,春日一丁目
72,原田,男,21,調理人（食堂、居酒屋、弁当店、その他）,つくば,春日二丁目
73,齋藤,男,40,調理補助、調理人見習,つくば,春日三丁目
74,宮川,女,41,食堂作業員（洗い場等）,つくば,春日四丁目
75,広川,男,42,クリーニング等の生活衛生サービス,つくば,松代一丁目
76,吉野,男,43,保育・介護補助、冠婚葬祭、その他サービス,つくば,松代二丁目
77,稲垣,男,28,施設介護員,つくば,松代三丁目
78,中山,男,45,訪問介護員、ホームヘルパー,つくば,松代四丁目
79,日下,女,46,介護支援専門員、ケアマネージャー,つくば,松代五丁目
80,浅野,男,47,老人福祉施設指導員,つくば,西郷
81,植田,男,48,障害者福祉施設指導員,つくば,小野川
82,渡辺,女,49,児童福祉施設指導員,つくば,東一丁目
83,増田,男,27,福祉相談員、ケースワーカー,つくば,東二丁目
84,水口,男,29,その他の福祉専門職,つくば,稲荷前
85,⽚岡,男,52,福祉施設管理者,つくば,二の宮一丁目
86,鈴木,女,53,保育士,つくば,二の宮二丁目
87,和氣,男,54,保育補助（その他サービスを含む）,つくば,二の宮三丁目
88,牛尼,男,55,学童保育・放課後児童クラブ等指導員,つくば,二の宮四丁目
89,川畑,男,56,幼稚園教員,つくば,高野台一丁目
90,金田,男,57,小・中・高等学校・特別支援学校等教員,つくば,高野台二丁目
91,金築,女,58,専修学校・各種学校教員,つくば,高野台三丁目
92,⼿川,男,59,職業訓練指導員、研修講師、その他の教員,つくば,東新井
93,湯川,男,60,学習塾教師,つくば,御幸が丘
94,尾名高,女,30,スポーツインストラクター,つくば,八幡台
95,葛西,男,31,習い事・その他の講師、インストラクター,つくば,上郷
96,林田,男,32,図書館司書,つくば,木俣
97,卯都木,男,33,学芸員,つくば,野畑
98,北野,女,34,学校カウンセラー,つくば,百家
99,柴田,男,35,医師、歯科医師、獣医師,つくば,高野
100,建部,女,36,薬剤師,つくば,今鹿島
101,高橋,男,37,看護師,つくば,沼崎
102,額田,男,38,准看護師,つくば,中東原新田
103,多田野,男,29,看護助手,つくば,遠東
104,藤田,女,40,保健師、助産師,つくば,酒丸
105,前田,男,41,理学療法士、作業療法士,つくば,土田
106,櫻井,男,24,臨床検査技師、診療放射線技師等,つくば,上里
107,亀田,男,43,歯科衛生士、歯科技工士,つくば,東光台一丁目
108,北原,男,44,歯科助手、歯科受付,つくば,東光台二丁目
109,宍戸,男,45,栄養士、管理栄養士,つくば,東光台三丁目
110,森島,男,46,あん摩マッサージ指圧・鍼灸師、柔道整復師,つくば,東光台四丁目
111,森本,男,23,言語聴覚士、その他の保健医療専門職,つくば,東光台五丁目
112,坂本,男,22,動物病院助手、その他の助手等,つくば,田倉
113,小池,女,49,医療事務・受付、調剤薬局事務,つくば,緑ケ原一丁目
114,稲田,男,50,金属材料製造、金属加工、溶接,つくば,緑ケ原二丁目
115,飯沼,男,51,自動車組立、輸送用機械組立・整備,つくば,緑ケ原三丁目
116,中野,男,52,自動車整備工,つくば,緑ケ原四丁目
117,中西,女,53,電気・電子・通信機器等組立・修理,つくば,手子生
118,小林,男,54,光学機械、その他の機械組立・修理,つくば,大曽根
119,加藤,女,55,食料品製造・加工,つくば,鹿島台
120,吉田,男,56,衣服・繊維製品製造、パタンナー,つくば,玉取
121,井上,男,57,化学製品、窯業・土石製品の製造・加工,つくば,若森
122,木村,男,58,プラスチック製品、その他の製造・加工,つくば,佐
123,林,女,59,ＤＴＰオペレーター、印刷、製本,つくば,蓮沼
124,清水,男,60,ＣＡＤオペレーター、製図、写図、現図,つくば,花畑一丁目
125,大島,男,30,塗装、看板制作、その他生産関連,つくば,花畑二丁目
126,小島,女,31,製品検査,つくば,花畑三丁目
127,森嶋,男,32,生産設備オペレーター（制御・監視),つくば,前野
128,池田,男,33,工場労務作業,つくば,立原
129,山下,女,34,建築技術者（工事監督、設計技術者等）,つくば,篠崎
130,中島,女,35,土木技術者（工事監督、設計技術者等）,つくば,北原
131,石井,男,36,測量技術者（測量士、測量士補）,つくば,長高野
132,岸田,男,37,ソフトウェア開発技術者、プログラマー,つくば,要
133,石破,女,38,その他の情報処理・通信技術者,つくば,大穂
134,早苗,男,39,電気・電子・電気通信の開発・製造技術者,つくば,吉沼
135,小川,男,40,機械・自動車等の設計・製造技術者,つくば,西高野
136,岡田,男,41,食品・その他の技術者、研究者,つくば,大久保
137,長谷川,男,42,経営、法務,つくば,大砂
138,後藤,男,43,ウェブデザイナー,つくば,小田
139,近藤,男,44,デザイナー（ウェブを除く）,つくば,北太田
140,村上,男,45,カメラマン、記者・編集者、その他芸術,つくば,大形
141,青木,男,46,通訳、翻訳,つくば,下大島
142,斉藤,男,47,カウンセラー（医療・福祉施設を除く）,つくば,小和田
143,福田,男,48,司書、その他の専門職,つくば,山口
144,太田,男,49,大工,つくば,平沢
145,藤井,男,50,配管工,つくば,北条
146,金子,男,51,左官、タイル張・内装・防水工等,つくば,君島
147,岡本,男,52,とび工、型枠大工、鉄筋工（建設躯体工事）,つくば,泉
148,藤原,男,53,建設機械・クレーン等運転工、玉掛,つくば,小泉
149,中野,男,54,ダンプカー・ミキサー車運転手,つくば,田中
150,三浦,男,55,建設・土木作業員,つくば,田水山
151,中川,男,56,舗装・線路工事・掘削等作業員,つくば,水守
152,松田,男,57,電気工事作業員,つくば,上沢
153,竹内,男,58,通信設備作業員、送電線等架線・敷設作業員,つくば,山木
154,小野,男,59,採掘,つくば,明石
155,田村,男,60,建築技術者（工事監督、設計技術者等）,つくば,高野原新田
156,石田,女,30,土木技術者（工事監督、設計技術者等）,つくば,作谷
157,森田,男,31,測量技術者（測量士、測量士補）等,つくば,寺具
158,上田,女,27,施設警備員,つくば,安食
159,原,男,33,道路交通誘導員,つくば,上菅間
160,内田,男,34,雑踏警備員,つくば,中菅間
161,柴田,男,35,その他の保安・警備・監視員,つくば,池田
162,酒井,女,36,管理人（マンション、アパート等）,つくば,磯部
163,宮崎,男,37,管理人（駐車場、駐輪場）,つくば,洞下
164,横山,男,38,ビル設備管理員、ビル管理人,つくば,筑波
165,高木,女,39,管理人（寄宿舎、寮、その他）,つくば,沼田
166,安藤,男,27,機械設備運転（クレーン、ボイラー、発電等）,つくば,国松
167,宮本,男,41,トラック運転手,つくば,上大島
168,大野,男,42,トレーラー・タンクローリー運転手,つくば,神郡
169,小島,女,43,ミキサー車・ダンプカー運転手,つくば,臼井
170,谷口,男,22,ごみ収集・陸送・その他の貨物自動車運転手,つくば,大貫
171,今井,男,28,バス運転手,つくば,杉木
172,工藤,男,46,タクシー運転手,つくば,小沢
173,高田,男,47,役員車・送迎車等の乗用自動車運転手,つくば,漆所
174,増田,女,48,その他の自動車運転手,つくば,和台
175,丸山,男,29,フォークリフト運転作業員,つくば,上境
176,杉山,男,50,鉄道・船舶・航空機の運転、その他の輸送,つくば,中根
177,村田,女,51,荷物の配達,つくば,栄
178,新井,男,52,ルート集配,つくば,松塚
179,大塚,男,53,郵便の集配、新聞配達等,つくば,松栄
180,小山,男,54,運行管理事務,つくば,大
181,平野,女,55,出札・旅客・貨物・料金収受係,つくば,横町
182,藤本,男,56,ビル・建物の清掃、ハウスクリーニング,つくば,金田
183,野口,男,57,ごみ収集、産業洗浄、その他の清掃・洗浄,つくば,古来
184,河野,男,58,フォークリフト運転作業員,つくば,吉瀬
185,上野,男,59,倉庫作業,つくば,上ノ室
186,武田,男,26,梱包作業,つくば,上広岡
187,松井,男,30,包装、ラベル・シール貼付,つくば,上広岡字野田
188,岩崎,男,31,商品等の選別・ピッキング,つくば,下広岡
189,千葉,女,32,運搬・積卸・引越作業、港湾荷役作業,つくば,大角豆
190,菅原,男,33,工場労務作業員,つくば,倉掛
191,木下,男,34,食堂作業員（洗い場等）,つくば,妻木
192,久保,男,35,小売店作業員（商品の陳列・補充等）,つくば,柴崎
193,佐野,男,36,学校・病院の用務員、その他の作業員,つくば,岡村新田
194,野村,女,25,稲作、畑作、園芸等,つくば,東岡
195,松尾,男,38,養畜、動物飼育等,つくば,花室
196,市川,男,39,植木職、造園師,つくば,栗原
197,菊地,男,40,その他の農業,つくば,上野
198,杉本,男,23,林業,つくば,天王台一丁目
199,島田,男,42,漁業,つくば,天王台二丁目
200,古川,男,43,農業・畜産・林業・水産技術者,つくば,天王台三丁目
201,大西,男,44,農学・林学・水産学研究者,つくば,天久保一丁目
202,水野,男,22,一般事務,つくば,天久保二丁目
203,桜井,男,46,事務補助,つくば,天久保三丁目
204,高野,男,47,総務事務,つくば,天久保四丁目
205,吉川,男,48,人事事務,つくば,吾妻一丁目
206,渡部,女,49,秘書,つくば,吾妻二丁目
207,山内,男,21,受付・案内事務,つくば,吾妻三丁目
208,飯田,男,51,医療事務・受付,つくば,吾妻四丁目
209,西田,男,52,調剤薬局事務,つくば,竹園一丁目
210,西川,女,53,護事務,つくば,竹園二丁目
211,菊池,男,54,会計・経理事務,つくば,竹園三丁目
212,小松,男,55,営業事務,つくば,千現一丁目
213,北村,男,56,販売事務,つくば,千現二丁目
214,安田,男,57,金融,つくば,並木一丁目
215,五十嵐,男,58,保険事務,つくば,並木二丁目
216,川口,男,59,貿易事務,つくば,並木三丁目
217,関,男,60,企画事務,つくば,並木四丁目
218,平田,男,30,マーケティング,つくば,梅園一丁目
219,中田,男,31,生産・工程管理事務,つくば,梅園二丁目
220,久保田,男,32,出荷・受荷事務,つくば,桜一丁目
221,服部,男,27,運行管理事務,つくば,桜二丁目
222,岩田,男,34,郵便事務,つくば,桜三丁目
223,東,男,35,旅客・料金収受係,つくば,筑穂一丁目
224,土屋,男,36,データ入力等ＰＣ操作,つくば,筑穂二丁目
225,福島,男,25,コールセンターオペレーター,つくば,筑穂三丁目
226,川崎,男,38,テレアポ等,つくば,豊里の杜一丁目
227,本田,男,39,集金・検針・調査等の外勤事務,つくば,豊里の杜二丁目
228,辻,男,40,法人・団体の役員・管理職等,つくば,南原
229,樋口,男,41,不動産営業,つくば,旭
230,秋山,男,26,金融・保険営業,つくば,西沢
231,永井,男,28,飲食料品販売営業,つくば,西原
232,田口,男,44,機械器具・電気器具販売営業,つくば,長峰
233,山中,女,45,自動車販売営業,つくば,原
234,中西,男,46,製品受注営業,つくば,六斗
235,吉村,男,47,通信・情報システム営業,つくば,小茎
236,川上,男,48,化学品販売営業、医薬品営業,つくば,下岩崎
237,石原,男,49,広告営業、会員勧誘、その他の営業,つくば,九万坪
238,大橋,女,50,テレフォンアポインター,つくば,上岩崎
239,松岡,女,27,スーパー・百貨店販売店員,つくば,房内
240,馬場,男,27,レジ係,つくば,若栗
241,浜田,男,53,コンビニエンスストア店員,つくば,菅間
242,森本,女,54,衣料品販売店員,つくば,樋の沢
243,星野,男,28,飲食料品販売店員,つくば,大井
244,浅野,女,56,医薬品・化粧品販売店員,つくば,高崎
245,矢野,男,57,自動車販売店員,つくば,天宝喜
246,大久保,男,58,電気機器販売店員,つくば,牧園
247,松下,男,25,ガソリンスタンド販売員,つくば,宝陽台
248,小池,男,60,その他の小売店販売員,つくば,城山
249,吉岡,男,30,小売店作業員（商品の陳列・補充等）,つくば,桜が丘
250,野田,男,29,店長（小売、卸売）,つくば,森の里
251,荒木,男,26,不動産仲介・売買,つくば,森の里
252,内藤,男,33,訪問販売、卸売、その他の販売,つくば,若葉
253,大谷,女,28,飲食店のホールスタッフ,つくば,あしび野
254,松浦,男,35,飲食店店長,つくば,高見原一丁目
255,熊谷,男,36,ホテル・旅館のフロント、接客、客室係,つくば,高見原二丁目
256,黒田,男,37,娯楽施設・スポーツ施設・その他の接客,つくば,高見原三丁目
257,尾崎,男,38,美容師,つくば,高見原四丁目
258,永田,男,39,理容師,つくば,高見原五丁目
259,望月,男,40,エステティシャン、ネイリスト,つくば,富士見台
260,荒井,男,41,理美容師補助、その他の美容サービス,つくば,自由ケ丘
261,田辺,男,42,調理人（日本・西洋・中華料理）,つくば,自由ケ丘
262,川村,男,43,調理人（給食）,つくば,梅ケ丘
263,松村,男,44,調理人（食堂、居酒屋、弁当店、その他）,つくば,池の台
264,堀,男,45,調理補助、調理人見習,つくば,松の里
265,早川,男,46,食堂作業員（洗い場等）,つくば,駒込
266,栗原,男,47,クリーニング等の生活衛生サービス,つくば,茎崎
267,大島,男,48,保育・介護補助、冠婚葬祭、その他サービス,つくば,小山
268,平井,男,49,施設介護員,つくば,大舟戸
269,西山,男,50,訪問介護員、ホームヘルパー,つくば,細見
270,菅野,男,51,介護支援専門員、ケアマネージャー,つくば,泊崎
271,広瀬,女,52,老人福祉施設指導員,つくば,明神
272,石橋,男,53,障害者福祉施設指導員,つくば,稲荷川
273,横田,男,54,児童福祉施設指導員,つくば,西ノ沢
274,萩原,男,28,福祉相談員、ケースワーカー,つくば,稲荷原
275,岩本,女,56,その他の福祉専門職,つくば,池向
276,関口,男,57,福祉施設管理者,つくば,鷹野原
277,片山,男,58,保育士,つくば,中山
278,宮田,男,59,保育補助（その他サービスを含む）,つくば,西大井
279,大石,男,60,学童保育・放課後児童クラブ等指導員,つくば,和台原
280,吉野,男,26,幼稚園教員,つくば,学園の森一丁目
281,高山,男,31,小・中・高等学校・特別支援学校等教員,つくば,学園の森二丁目
282,須藤,女,32,専修学校・各種学校教員,つくば,学園の森三丁目
283,本間,男,33,職業訓練指導員、研修講師、その他の教員,つくば,研究学園一丁目
284,岡崎,男,34,学習塾教師,つくば,研究学園二丁目
285,小田,男,26,スポーツインストラクター,つくば,研究学園三丁目
286,伊東,男,36,習い事・その他の講師、インストラクター,つくば,研究学園四丁目
287,上原,男,37,図書館司書,つくば,研究学園五丁目
288,鎌田,男,25,学芸員,つくば,研究学園六丁目
289,篠原,男,39,学校カウンセラー,つくば,研究学園七丁目
290,小西,男,40,医師、歯科医師、獣医師,つくば,学園南一丁目
291,古賀,男,41,薬剤師,つくば,学園南二丁目
292,松原,男,42,看護師,つくば,学園南三丁目
293,福井,男,43,准看護師,つくば,香取台Ａ
294,小泉,女,44,看護助手,つくば,香取台Ｂ
295,大森,男,45,保健師、助産師,つくば,諏訪Ｃ
296,奥村,男,26,理学療法士、作業療法士,つくば,諏訪Ｄ
297,南,男,47,臨床検査技師、診療放射線技師等,つくば,諏訪Ｅ
298,成田,女,48,歯科衛生士、歯科技工士,つくば,陣場Ｄ
299,内山,男,26,歯科助手、歯科受付,つくば,陣場Ｅ
300,川島,男,50,栄養士、管理栄養士,つくば,陣場Ｆ
301,沢田,女,51,あん摩マッサージ指圧・鍼灸師、柔道整復師,つくば,陣場Ｇ
302,桑原,男,25,言語聴覚士、その他の保健医療専門職,つくば,みどりの一丁目
303,杉浦,男,53,動物病院助手、その他の助手等,つくば,みどりの二丁目
304,三宅,女,54,医療事務・受付、調剤薬局事務,つくば,みどりの中央
305,片岡,男,55,金属材料製造、金属加工、溶接,つくば,みどりの東
306,富田,女,26,自動車組立、輸送用機械組立・整備,つくば,みどりの南
307,岡,女,57,自動車整備工,つくば,台町一丁目
308,八木,男,58,電気・電子・通信機器等組立・修理,つくば,台町二丁目
309,小沢,男,59,光学機械、その他の機械組立・修理,つくば,台町三丁目
310,奥田,男,28,食料品製造・加工,つくば,春風台
311,関根,女,30,衣服・繊維製品製造、パタンナー,つくば,流星台
312,松永,男,31,化学製品、窯業・土石製品の製造・加工,つくば,さくらの森
313,北川,女,32,プラスチック製品、その他の製造・加工,つくば,かみかわ
314,河合,男,33,ＤＴＰオペレーター、印刷、製本,つくば,高山
315,平山,女,34,ＣＡＤオペレーター、製図、写図、現図,つくば,万博公園西
316,牧野,男,35,塗装、看板制作、その他生産関連,つくば,谷田部
317,白石,男,36,製品検査,つくば,谷田部字瑞穂
318,今村,女,37,生産設備オペレーター（制御・監視),つくば,羽成
319,寺田,男,38,工場労務作業,つくば,飯田
320,青山,女,39,建築技術者（工事監督、設計技術者等）,つくば,中野
321,小倉,女,27,土木技術者（工事監督、設計技術者等）,つくば,片田
322,中尾,男,41,測量技術者（測量士、測量士補）,つくば,上萱丸
323,渋谷,男,42,ソフトウェア開発技術者、プログラマー,つくば,花島新田
324,上村,女,43,その他の情報処理・通信技術者,つくば,下萱丸
325,大山,女,26,電気・電子・電気通信の開発・製造技術者,つくば,小白硲
326,小野寺,男,45,機械・自動車等の設計・製造技術者,つくば,西栗山
327,足立,女,46,食品・その他の技術者、研究者,つくば,上横場
328,岡村,男,47,経営、法務,つくば,境田
329,天野,男,25,ウェブデザイナー,つくば,境松
330,坂口,女,49,デザイナー（ウェブを除く）,つくば,根崎
331,多田,女,50,カメラマン、記者・編集者、その他芸術,つくば,古館
332,佐久間,男,51,通訳、翻訳,つくば,緑が丘
333,根本,女,52,カウンセラー（医療・福祉施設を除く）,つくば,東丸山
334,豊田,男,53,司書、その他の専門職,つくば,真瀬
335,田島,男,54,大工,つくば,鍋沼新田
336,飯塚,男,55,配管工,つくば,高須賀
337,角田,男,56,左官、タイル張・内装・防水工等,つくば,高良田
338,村山,女,25,とび工、型枠大工、鉄筋工（建設躯体工事）,つくば,島名
339,武藤,男,58,建設機械・クレーン等運転工、玉掛,つくば,中別府
340,白井,男,59,ダンプカー・ミキサー車運転手,つくば,下別府
341,西,女,60,建設・土木作業員,つくば,上河原崎下河原崎入会地
342,榎本,女,24,舗装・線路工事・掘削等作業員,つくば,上河原崎
343,宮下,男,31,電気工事作業員,つくば,鬼ケ窪
344,塚本,女,32,通信設備作業員、送電線等架線・敷設作業員,つくば,高田
345,竹田,男,33,採掘,つくば,面野井
346,神谷,男,23,建築技術者（工事監督、設計技術者等）,つくば,下河原崎
347,坂田,女,35,土木技術者（工事監督、設計技術者等）,つくば,水堀
348,水谷,女,36,測量技術者（測量士、測量士補）等,つくば,北郷
349,児玉,男,37,施設警備員,つくば,西平塚
350,坂井,男,38,道路交通誘導員,つくば,東平塚
351,齋藤,女,39,雑踏警備員,つくば,下平塚
352,浅井,男,40,その他の保安・警備・監視員,つくば,葛城根崎
353,岡部,男,25,管理人（マンション、アパート等）,つくば,苅間
354,小原,女,42,管理人（駐車場、駐輪場）,つくば,西大橋
355,神田,男,43,ビル設備管理員、ビル管理人,つくば,西岡
356,森下,男,22,管理人（寄宿舎、寮、その他）,つくば,小野崎
357,中井,男,45,機械設備運転（クレーン、ボイラー、発電等）,つくば,島
358,植田,男,46,トラック運転手,つくば,平
359,小笠原,男,47,トレーラー・タンクローリー運転手,つくば,大白硲
360,河村,男,48,ミキサー車・ダンプカー運転手,つくば,柳橋
361,稲垣,男,21,ごみ収集・陸送・その他の貨物自動車運転手,つくば,新井
362,宮川,男,50,バス運転手,つくば,山中
363,前川,男,51,タクシー運転手,つくば,藤本
364,大川,男,52,役員車・送迎車等の乗用自動車運転手,つくば,大わし
365,飯島,男,53,その他の自動車運転手,つくば,中内
366,松崎,男,54,フォークリフト運転作業員,つくば,館野
367,長田,男,23,鉄道・船舶・航空機の運転、その他の輸送,つくば,榎戸
368,若林,男,56,荷物の配達,つくば,北中妻
369,谷,男,57,ルート集配,つくば,赤塚
370,大沢,男,58,郵便の集配、新聞配達等,つくば,下原
371,石塚,男,22,運行管理事務,つくば,梶内
372,安部,男,60,出札・旅客・貨物・料金収受係,つくば,南中妻
373,堀内,男,30,ビル・建物の清掃、ハウスクリーニング,つくば,下横場
374,田代,男,31,ごみ収集、産業洗浄、その他の清掃・洗浄,つくば,稲岡
375,及川,男,26,フォークリフト運転作業員,つくば,北中島
376,中嶋,男,33,倉庫作業,つくば,市之台
377,江口,男,34,梱包作業,つくば,今泉
378,中谷,男,35,包装、ラベル・シール貼付,つくば,新牧田
379,山根,女,36,商品等の選別・ピッキング,つくば,手代木
380,岸本,男,37,運搬・積卸・引越作業、港湾荷役作業,つくば,西大沼
381,荒川,男,23,工場労務作業員,つくば,上原
382,本多,男,39,食堂作業員（洗い場等）,つくば,松野木
383,西尾,女,40,小売店作業員（商品の陳列・補充等）,つくば,観音台一丁目
384,森山,男,41,学校・病院の用務員、その他の作業員,つくば,観音台二丁目
385,岡野,男,22,稲作、畑作、園芸等,つくば,観音台三丁目
386,金井,男,43,養畜、動物飼育等,つくば,春日一丁目
387,細川,女,44,植木職、造園師,つくば,春日二丁目
388,今野,男,45,その他の農業,つくば,春日三丁目
389,稲葉,男,46,林業,つくば,春日四丁目
390,戸田,男,26,漁業,つくば,松代一丁目
391,津田,女,48,農業・畜産・林業・水産技術者,つくば,松代二丁目
392,安達,男,49,農学・林学・水産学研究者,つくば,松代三丁目
393,落合,女,22,一般事務,つくば,松代四丁目
394,森川,男,51,事務補助,つくば,松代五丁目
395,土井,男,52,総務事務,つくば,西郷
396,村松,女,53,人事事務,つくば,小野川
397,町田,男,54,秘書,つくば,東一丁目
398,星,男,55,受付・案内事務,つくば,東二丁目
399,三上,男,56,医療事務・受付,つくば,稲荷前
400,畠山,女,57,調剤薬局事務,つくば,二の宮一丁目
401,岩井,男,58,護事務,つくば,二の宮二丁目
402,堤,男,59,会計・経理事務,つくば,二の宮三丁目
403,長尾,男,60,営業事務,つくば,二の宮四丁目
404,中原,男,30,販売事務,つくば,高野台一丁目
405,野崎,男,31,金融,つくば,高野台二丁目
406,中沢,女,32,保険事務,つくば,高野台三丁目
407,金田,男,33,貿易事務,つくば,東新井
408,米田,男,21,企画事務,つくば,御幸が丘
409,杉田,男,35,マーケティング,つくば,八幡台
410,松山,男,36,生産・工程管理事務,つくば,上郷
411,堀田,男,37,出荷・受荷事務,つくば,木俣
412,西野,女,38,運行管理事務,つくば,野畑
413,三好,男,22,郵便事務,つくば,百家
414,山岸,男,40,旅客・料金収受係,つくば,高野
415,佐伯,男,41,データ入力等ＰＣ操作,つくば,今鹿島
416,黒川,女,42,コールセンターオペレーター,つくば,沼崎
417,西岡,男,43,テレアポ等,つくば,中東原新田
418,大竹,男,23,集金・検針・調査等の外勤事務,つくば,遠東
419,泉,男,45,法人・団体の役員・管理職等,つくば,酒丸
420,甲斐,男,46,不動産営業,つくば,土田
421,大木,女,47,金融・保険営業,つくば,上里
422,笠原,男,24,飲食料品販売営業,つくば,東光台一丁目
423,堀江,男,49,機械器具・電気器具販売営業,つくば,東光台二丁目
424,岸,男,50,自動車販売営業,つくば,東光台三丁目
425,川田,男,51,製品受注営業,つくば,東光台四丁目
426,徳永,男,25,通信・情報システム営業,つくば,東光台五丁目
427,須田,男,53,化学品販売営業、医薬品営業,つくば,田倉
428,山川,男,54,広告営業、会員勧誘、その他の営業,つくば,緑ケ原一丁目
429,黒木,男,55,テレフォンアポインター,つくば,緑ケ原二丁目
430,榊原,男,56,スーパー・百貨店販売店員,つくば,緑ケ原三丁目
431,古田,男,57,レジ係,つくば,緑ケ原四丁目
432,梅田,男,58,コンビニエンスストア店員,つくば,手子生
433,三木,男,59,衣料品販売店員,つくば,大曽根
434,野中,男,28,飲食料品販売店員,つくば,鹿島台
435,新田,男,30,医薬品・化粧品販売店員,つくば,玉取
436,大城,男,31,自動車販売店員,つくば,若森
437,金城,男,28,電気機器販売店員,つくば,佐
438,村井,女,33,ガソリンスタンド販売員,つくば,蓮沼
439,奥山,男,34,その他の小売店販売員,つくば,花畑一丁目
440,土田,女,35,小売店作業員（商品の陳列・補充等）,つくば,花畑二丁目
441,滝沢,男,36,店長（小売、卸売）,つくば,花畑三丁目
442,大村,男,37,不動産仲介・売買,つくば,前野
443,川端,男,38,訪問販売、卸売、その他の販売,つくば,立原
444,井口,女,22,飲食店のホールスタッフ,つくば,篠崎
445,梶原,男,25,飲食店店長,つくば,北原
446,宮城,男,41,ホテル・旅館のフロント、接客、客室係,つくば,長高野
447,大場,男,42,娯楽施設・スポーツ施設・その他の接客,つくば,要
448,比嘉,女,43,美容師,つくば,大穂
449,長島,男,26,理容師,つくば,吉沼
450,吉原,男,45,エステティシャン、ネイリスト,つくば,西高野
451,宮内,男,46,理美容師補助、その他の美容サービス,つくば,大久保
452,金沢,男,47,調理人（日本・西洋・中華料理）,つくば,大砂
